filename,error,timestamp
2204.10196.pdf,'list' object is not a mapping,2026-03-15 14:07:51
2410.01524.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-03-15 14:07:56
2504.11707.pdf,'list' object is not a mapping,2026-03-15 14:10:18
2310.01405.pdf,"the JSON object must be str, bytes or bytearray, not NoneType",2026-03-15 14:10:34
2505.01162.pdf,'list' object is not a mapping,2026-03-15 14:12:23
2408.00769.pdf,'list' object is not a mapping,2026-03-15 14:12:29
2108.10069.pdf,'list' object is not a mapping,2026-03-15 14:12:36
2407.08743.pdf,'list' object is not a mapping,2026-03-15 14:15:08
2603.17915.pdf,'list' object is not a mapping,2026-03-19 14:01:05
2604.00568.pdf,'list' object is not a mapping,2026-04-02 14:58:27
2604.00547.pdf,'list' object is not a mapping,2026-04-02 14:58:38
2604.00323.pdf,'list' object is not a mapping,2026-04-02 14:59:23
2604.02772.pdf,'list' object is not a mapping,2026-04-06 12:08:59
2604.02669.pdf,'list' object is not a mapping,2026-04-06 12:09:21
2604.18729.pdf,'list' object is not a mapping,2026-04-24 12:17:38
2604.19124.pdf,'list' object is not a mapping,2026-04-24 12:17:49
2605.00468.pdf,'list' object is not a mapping,2026-05-04 12:10:45
2605.05159.pdf,The read operation timed out,2026-05-13 12:11:07
2605.05159.pdf,The read operation timed out,2026-05-20 17:38:35
2605.15208.pdf,'list' object is not a mapping,2026-05-20 19:05:23
2605.14087.pdf,'list' object is not a mapping,2026-05-20 19:05:23
2605.05159.pdf,'list' object is not a mapping,2026-05-20 19:05:24
2605.08671.pdf,'list' object is not a mapping,2026-05-20 19:05:30
2605.12898.pdf,'list' object is not a mapping,2026-05-20 19:05:39
2605.08427.pdf,'list' object is not a mapping,2026-05-20 19:05:50
2605.10442.pdf,'list' object is not a mapping,2026-05-20 19:06:18
2606.10158.pdf,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",2026-06-11 02:05:53
2606.07311.pdf,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",2026-06-11 02:06:08
2606.08381.pdf,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",2026-06-11 02:06:24
2606.06266.pdf,'list' object is not a mapping,2026-06-11 02:07:45
2606.07311.pdf,'list' object is not a mapping,2026-06-11 14:39:31
2605.27025.pdf,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",2026-06-11 14:39:58
2606.08381.pdf,"503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",2026-06-11 14:41:17
2606.29171.pdf,'list' object is not a mapping,2026-07-01 14:59:27
2606.28294.pdf,'list' object is not a mapping,2026-07-01 14:59:56
2606.20369.pdf,'list' object is not a mapping,2026-07-01 15:00:36
2606.24596.pdf,'list' object is not a mapping,2026-07-01 15:00:48
2606.08381.pdf,'list' object is not a mapping,2026-07-01 15:00:48
2606.19625.pdf,'list' object is not a mapping,2026-07-01 15:01:26
2606.01260.pdf,'list' object is not a mapping,2026-07-02 13:09:57
2607.04945.pdf,'list' object is not a mapping,2026-07-07 15:47:56
2607.06196.pdf,'list' object is not a mapping,2026-07-08 10:54:52
2607.10590.pdf,[Errno 2] No such file or directory,2026-07-14 12:16:13
2607.14491.pdf,'list' object is not a mapping,2026-07-20 15:31:03
2607.20695.pdf,'list' object is not a mapping,2026-07-24 14:11:37
2607.21063.pdf,'list' object is not a mapping,2026-07-24 14:12:03
2607.27824.pdf,'list' object is not a mapping,2026-07-31 22:41:05
2607.28607.pdf,'list' object is not a mapping,2026-07-31 22:41:20
2608.01780.pdf,'list' object is not a mapping,2026-08-04 21:36:07
2608.03532.pdf,'list' object is not a mapping,2026-08-05 13:56:11
2608.18768.pdf,'list' object is not a mapping,2026-08-20 13:28:01
2608.21985.pdf,'list' object is not a mapping,2026-08-25 12:35:59
2608.25379.pdf,'list' object is not a mapping,2026-08-27 14:25:23
